title,release_date,developer,genres,multiplayer_or_singleplayer,price,overall_review,reviews,percent_positive,win_support,mac_support,lin_support
Counter-Strike: Global Offensive,21/08/2012,Valve;Hidden Path Entertainment,Action;Free to Play,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Free to play,Positive,6774812,88%,1,1,1
Dota 2,09/07/2013,Valve,Action;Free to Play;Strategy,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Free to play,Positive,1885261,82%,1,1,1
Dead by Daylight,14/06/2016,Behaviour Digital Inc.,Action,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,749,Positive,453698,81%,1,0,0
Warframe,25/03/2013,Digital Extremes,Action;Free to Play,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to play,Positive,512887,87%,1,0,0
War Thunder,15/08/2013,Gaijin Entertainment,Action;Free to Play;Massively Multiplayer;Simulation,Single-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Partial Controller Support,Free to play,Positive,28437,48%,1,1,1
Grand Theft Auto V,13/04/2015,Rockstar North,Action;Adventure,Single-player;Multi-player;Steam Achievements;Full controller support,Free to play,Positive,349924,78%,1,0,0
The Elder Scrolls� Online,22/05/2017,Zenimax Online Studios,Massively Multiplayer;RPG,MMO;Steam Trading Cards;Partial Controller Support,"1,599",Positive,443174,91%,1,1,0
RimWorld,17/10/2018,Ludeon Studios,Indie;Simulation;Strategy,Single-player;Steam Workshop;Steam Cloud,"1,099",Positive,104886,83%,1,1,1
Rust,08/02/2018,Facepunch Studios,Action;Adventure;Indie;Massively Multiplayer;RPG,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,"1,799",Positive,125211,98%,1,1,0
Euro Truck Simulator 2,12/10/2012,SCS Software,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,925,Positive,209179,69%,1,1,1
Tom Clancy's Rainbow Six� Siege,01/12/2015,Ubisoft Montreal,Action,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,999,Positive,430129,97%,1,0,0
FINAL FANTASY XIV Online,18/02/2014,Square Enix,Massively Multiplayer;RPG,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support,719,Positive,52459,77%,1,0,0
Cities: Skylines,10/03/2015,Colossal Order Ltd.,Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,899,Positive,920119,93%,1,1,1
Project Zomboid,08/11/2013,The Indie Stone,Indie;RPG;Simulation;Early Access,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,529,Positive,7817,57%,1,1,1
Team Fortress 2,10/10/2007,Valve,Action;Free to Play,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Free to play,Positive,88790,88%,1,1,1
World of Warships,15/11/2017,Wargaming Group Limited,Action;Free to Play;Massively Multiplayer;Simulation,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,Positive,409097,97%,1,0,0
Raft,23/05/2018,Redbeet Interactive,Adventure;Indie;Simulation;Early Access,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Cloud,565,Positive,204591,93%,1,0,0
American Truck Simulator,02/02/2016,SCS Software,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,925,Positive,291290,89%,1,1,1
No Man's Sky,12/08/2016,Hello Games,Action;Adventure,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud,"1,799",Positive,7219,90%,1,0,0
The Forest,30/04/2018,Endnight Games Ltd,Action;Adventure;Indie;Simulation,Single-player;Multi-player;Co-op;Partial Controller Support;Steam Cloud,529,Positive,38926,87%,1,0,0
Sid Meier�s Civilization� VI,20/10/2016,Firaxis Games;Aspyr (Mac);Aspyr (Linux),Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop,"2,499",Positive,40313,76%,1,1,1
"Warhammer 40,000: Inquisitor - Martyr",05/06/2018,NeocoreGames,Action;Adventure;Indie;RPG,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards,"1,669",Positive,319699,95%,1,0,0
Stellaris,09/05/2016,Paradox Development Studio,Simulation;Strategy,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,099",Positive,35032,97%,1,1,1
The Elder Scrolls V: Skyrim Special Edition,27/10/2016,Bethesda Game Studios,RPG,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,"1,799",Positive,98333,88%,1,0,0
theHunter: Call of the Wild�,16/02/2017,Expansive Worlds,Adventure;Simulation;Sports,Single-player;Multi-player;Steam Achievements;Steam Cloud,529,Positive,42986,71%,1,0,0
SCUM,29/08/2018,Gamepires;Croteam,Action;Adventure;Indie;Massively Multiplayer;Early Access,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards,759,Positive,3475,93%,1,0,0
Stardew Valley,26/02/2016,ConcernedApe,Indie;RPG;Simulation,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,479,Positive,65814,75%,1,1,1
Hearts of Iron IV,06/06/2016,Paradox Development Studio,Simulation;Strategy,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,099",Positive,150321,92%,1,1,1
Terraria,16/05/2011,Re-Logic,Action;Adventure;Indie;RPG,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,369,Positive,120982,32%,1,1,1
Deep Rock Galactic,28/02/2018,Ghost Ship Games,Action;Indie;Early Access,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Full controller support;Steam Trading Cards;Steam Cloud,699,Positive,834745,97%,1,0,0
Don't Starve Together,21/04/2016,Klei Entertainment,Adventure;Indie;Simulation,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Full controller support;Steam Trading Cards;Steam Workshop,459,Positive,165209,87%,1,1,1
Call of Duty�: Black Ops III,05/11/2015,Treyarch;Aspyr (Mac),Action;Adventure,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Steam Leaderboards,"3,999",Positive,104960,79%,1,1,0
BeamNG.drive,29/05/2015,BeamNG,Racing;Simulation;Early Access,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Includes level editor,569,Positive,32050,86%,1,0,0
SMITE�,08/09/2015,Titan Forge Games,Action;Free to Play,Multi-player;Steam Achievements;Steam Trading Cards,Free to play,Positive,92452,95%,1,0,0
DayZ,13/12/2018,Bohemia Interactive,Action;Adventure;Massively Multiplayer,Multi-player;Online Multi-Player;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled,"2,799",Positive,55690,87%,1,0,0
Warhammer: Vermintide 2,08/03/2018,Fatshark,Action,Single-player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support,999,Positive,4206,90%,1,0,0
X4: Foundations,30/11/2018,Egosoft,Action;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,999",Positive,272145,73%,1,0,1
Assetto Corsa,19/12/2014,Kunos Simulazioni,Indie;Racing;Simulation;Sports,Single-player;Online Multi-Player;Steam Achievements;Partial Controller Support;Steam Leaderboards;Includes level editor,529,Positive,146772,96%,1,0,0
Bloons TD 6,17/12/2018,Ninja Kiwi,Strategy,Single-player;Steam Achievements;In-App Purchases,439,Positive,442,90%,1,1,0
Risk of Rain 2,28/03/2019,Hopoo Games,Action;Indie;Early Access,Single-player;Online Multi-Player;Online Co-op;Full controller support;Steam Cloud;Steam Leaderboards,719,Positive,52700,90%,1,0,0
Garry's Mod,29/11/2006,Facepunch Studios,Indie;Simulation,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,399,Positive,76231,86%,1,1,1
Left 4 Dead 2,19/11/2009,Valve,Action,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,480,Positive,17300,97%,1,1,1
Fallout 4,09/11/2015,Bethesda Game Studios,RPG,Single-player;Steam Achievements;Full controller support;Steam Cloud,999,Positive,769580,96%,1,0,0
The Binding of Isaac: Rebirth,04/11/2014,"Nicalis, Inc.",Action,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,459,Positive,23210,92%,1,1,1
PAYDAY 2,13/08/2013,OVERKILL - a Starbreeze Studio.,Action;RPG,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases,399,Positive,695,79%,1,0,1
Total War: WARHAMMER II,28/09/2017,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),Action;Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards,"2,699",Positive,79674,93%,1,1,1
The Witcher� 3: Wild Hunt,18/05/2015,CD PROJEKT RED,RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,800,Positive,49754,87%,1,0,0
Conan Exiles,08/05/2018,Funcom,Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop,999,Positive,13988,95%,1,0,0
Factorio,25/02/2016,Wube Software LTD.,Casual;Indie;Simulation;Strategy;Early Access,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Includes level editor,"1,000",Positive,387050,89%,1,1,1
War Robots,04/04/2018,Pixonic,Action;Free to Play,Multi-player;Online Multi-Player;Steam Trading Cards;In-App Purchases,Free to play,Mixed,105617,98%,1,0,0
Squad,14/12/2015,Offworld Industries,Action;Indie;Strategy;Early Access,Multi-player;Online Multi-Player;Steam Trading Cards;Steam Workshop;Partial Controller Support;Valve Anti-Cheat enabled,"1,099",Positive,13549,88%,1,0,0
Assassin's Creed� Odyssey,05/10/2018,Ubisoft Quebec;Ubisoft Montreal;Ubisoft Bucharest;Ubisoft Singapore;Ubisoft Montpellier;Ubisoft Kiev;Ubisoft Shanghai,Action;Adventure;RPG,Single-player;Steam Achievements;Steam Trading Cards;Captions available;In-App Purchases;Partial Controller Support,"2,999",Positive,7291,96%,1,0,0
Monster Hunter: World,09/08/2018,"CAPCOM Co., Ltd.",Action,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,"2,497",Positive,6138,79%,1,0,0
Beat Saber,01/05/2018,Beat Games,Indie;Early Access,Single-player;Steam Leaderboards,699,Positive,83661,84%,1,0,0
Arma 3,12/09/2013,Bohemia Interactive,Action;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Leaderboards;Includes level editor,"1,999",Positive,49845,89%,1,0,0
Among Us,16/11/2018,Innersloth,Casual,Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer,199,Positive,20622,86%,1,0,0
VRChat,01/02/2017,VRChat Inc.,Adventure;Casual;Free to Play;Massively Multiplayer;Simulation;Sports;Early Access,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support,Free to play,Positive,70017,94%,1,0,0
Europa Universalis IV,13/08/2013,Paradox Development Studio,Simulation;Strategy,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,099",Positive,306192,83%,1,1,1
Brawlhalla,17/10/2017,Blue Mammoth Games,Action;Free to Play;Indie,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards,Free to play,Positive,3394,90%,1,1,0
DCS World Steam Edition,02/08/2013,Eagle Dynamics SA,Free to Play;Simulation,Single-player;Multi-player;Captions available;VR Support;Partial Controller Support;Includes level editor,Free to play,Positive,147231,94%,1,0,0
Tropico 6,29/03/2019,Limbic Entertainment,Simulation;Strategy,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,"2,299",Positive,54620,96%,1,1,1
Divinity: Original Sin 2 - Definitive Edition,14/09/2017,Larian Studios,Adventure;RPG;Strategy,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Includes level editor,989,Positive,6165,96%,1,1,0
iRacing,12/01/2015,iRacing.com Motorsport Simulations;iRacing,Massively Multiplayer;Racing;Simulation;Sports,Single-player;Multi-player;MMO;VR Support;Partial Controller Support,369,Positive,76614,86%,1,0,0
EVE Online,15/12/2010,CCP,Action;Free to Play;Massively Multiplayer;RPG;Strategy,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards,Free to play,Positive,78842,86%,1,1,0
Dead Cells,06/08/2018,Motion Twin,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,629,Positive,35,82%,1,1,1
Hollow Knight,24/02/2017,Team Cherry,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,479,Positive,1623,88%,1,1,1
Tom Clancy's Ghost Recon� Wildlands,06/03/2017,Ubisoft Paris;Ubisoft Annecy;Ubisoft Bucharest;Ubisoft Montpellier;Ubisoft Milan;Reflections;Ubisoft Belgrade,Action;Adventure,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,"2,499",Positive,14789,87%,1,0,0
Pummel Party,20/09/2018,Rebuilt Games,Action;Casual;Indie,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support,459,Positive,65350,98%,1,0,0
FOR HONOR�,13/02/2017,Ubisoft Montreal;Ubisoft Quebec;Ubisoft Toronto;Blue Byte,Action,Single-player;Online Multi-Player;Online Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,749,Mixed,144975,89%,1,0,0
Subnautica,23/01/2018,Unknown Worlds Entertainment,Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support,699,Positive,230304,97%,1,1,0
Cuphead,29/09/2017,Studio MDHR Entertainment Inc.,Action;Indie,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,565,Positive,7290,80%,1,1,0
Oxygen Not Included,18/05/2017,Klei Entertainment,Indie;Simulation;Early Access,Single-player,569,Positive,29968,79%,1,1,1
Tabletop Simulator,05/06/2015,Berserk Games,Casual;Indie;RPG;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,565,Positive,32226,89%,1,1,1
Total War: WARHAMMER,24/05/2016,CREATIVE ASSEMBLY;Feral Interactive (Linux);Feral Interactive (Mac),Action;Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop,"2,699",Positive,109481,71%,1,1,1
House Flipper,17/05/2018,Empyrean,Indie;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,569,Positive,178902,92%,1,1,0
Space Engineers,28/02/2019,Keen Software House,Action;Indie;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,789,Positive,188864,96%,1,0,0
CarX Drift Racing Online,17/11/2017,CarX Technologies,Massively Multiplayer;Racing;Simulation;Sports,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support,459,Positive,4681,96%,1,0,0
Assassin's Creed� Origins,26/10/2017,Ubisoft Montreal,Action;Adventure;RPG,Single-player;Steam Achievements;Steam Trading Cards;Captions available;In-App Purchases;Partial Controller Support,"3,499",Positive,49237,95%,1,0,0
Dying Light,26/01/2015,Techland,Action;RPG,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,899,Positive,1011,97%,1,1,1
Conqueror's Blade,01/05/2019,Booming Games,Action;Free to Play;Massively Multiplayer;RPG;Strategy,Online Multi-Player;MMO;Online Co-op;In-App Purchases,Free to play,Mixed,63518,86%,1,0,0
Albion Online,16/05/2018,Sandbox Interactive GmbH,Free to Play;Massively Multiplayer;RPG,Online Multi-Player;MMO;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases,Free to play,Positive,85862,96%,1,1,1
Yu-Gi-Oh! Duel Links,16/11/2017,Konami Digital Entertainment,Free to Play;Strategy,Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,Positive,43534,29%,1,0,0
Path of Exile,23/10/2013,Grinding Gear Games,Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,Positive,4477,91%,1,1,0
Overcooked! 2,07/08/2018,Ghost Town Games Ltd.;Team17 Digital Ltd,Action;Casual;Indie,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,569,Positive,53355,79%,1,1,1
Slay the Spire,23/01/2019,Mega Crit Games,Indie;Strategy,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards,569,Positive,22342,80%,1,1,1
This War of Mine,14/11/2014,11 bit studios,Adventure;Indie;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,598,Positive,75310,97%,1,1,1
Elite Dangerous,02/04/2015,Frontier Developments,Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,Single-player;Multi-player;MMO;Co-op;VR Support;Partial Controller Support,"1,980",Positive,103945,97%,1,0,0
Assetto Corsa Competizione,12/09/2018,Kunos Simulazioni,Racing;Simulation;Sports;Early Access,Single-player;Partial Controller Support,"2,799",Positive,30879,92%,1,0,0
Green Hell,29/08/2018,Creepy Jar,Indie;Simulation;Early Access,Single-player,569,Positive,14500,95%,1,0,0
Human: Fall Flat,22/07/2016,No Brakes Games,Adventure;Indie,Single-player;Online Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,529,Positive,24573,68%,1,1,0
Portal 2,18/04/2011,Valve,Action;Adventure,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,480,Positive,39499,98%,1,1,1
Shadowverse CCG,27/10/2016,"Cygames, Inc.",Free to Play;Strategy,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;In-App Purchases,Free to play,Positive,40033,92%,1,1,0
Devil May Cry 5,07/03/2019,"CAPCOM Co., Ltd.",Action,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"1,749",Positive,262,86%,1,0,0
Foxhole,27/07/2017,Clapfoot,Action;Indie;Massively Multiplayer;RPG;Strategy;Early Access,Multi-player;Online Multi-Player;MMO,699,Positive,69173,88%,1,0,0
DARK SOULS� III,11/04/2016,"FromSoftware, Inc.",Action,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards,"4,299",Positive,79276,86%,1,0,0
The Sims� 3,27/01/2011,The Sims Studio,Simulation,Single-player,"1,199",Positive,58398,84%,1,0,0
DRAGON BALL XENOVERSE 2,27/10/2016,QLOC;DIMPS,Action;Adventure;Casual;Massively Multiplayer,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,"3,284",Positive,3140,84%,1,0,0
Insurgency: Sandstorm,12/12/2018,New World Interactive,Action,Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,"1,299",Positive,133895,94%,1,0,0
Blade and Sorcery,11/12/2018,WarpFrog,Action;Adventure;Indie;RPG;Simulation;Early Access,Single-player,529,Positive,34981,96%,1,0,0
ASTRONEER,05/02/2019,System Era Softworks,Adventure;Indie,Single-player;Online Co-op;Full controller support,699,Positive,16180,70%,1,0,0
Northgard,07/03/2018,Shiro Games,Indie;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud,699,Positive,59774,84%,1,1,1
Grim Dawn,25/02/2016,Crate Entertainment,Action;Adventure;Indie;RPG,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,569,Positive,17124,78%,1,0,0
Star Trek Online,31/01/2012,Cryptic Studios,Free to Play;Massively Multiplayer;RPG,Multi-player;MMO;Co-op;Steam Achievements;Full controller support;In-App Purchases,Free to play,Positive,507,88%,1,0,0
Stormworks: Build and Rescue,28/02/2018,Sunfire Software,Simulation;Early Access,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Workshop;Partial Controller Support,569,Positive,85515,91%,1,1,0
Crossout,26/07/2017,Targem Games,Action;Free to Play;Massively Multiplayer;Racing,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases,Free to play,Positive,23586,90%,1,0,0
Totally Accurate Battle Simulator,01/04/2019,Landfall,Indie;Simulation;Strategy;Early Access,Single-player,529,Positive,13399,75%,1,1,0
Fishing Planet,28/08/2017,Fishing Planet LLC,Free to Play;Massively Multiplayer;Simulation;Sports,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Full controller support,Free to play,Positive,14799,92%,1,1,1
Fallout: New Vegas,21/10/2010,Obsidian Entertainment,Action;RPG,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,369,Positive,3664,78%,1,0,0
Total War�: ROME II - Emperor Edition,02/09/2013,CREATIVE ASSEMBLY,Strategy,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,"2,699",Positive,5153,80%,1,0,0
DARK SOULS�: REMASTERED,23/05/2018,QLOC,Action,Single-player;Multi-player;Steam Achievements;Full controller support,"1,199",Positive,134268,96%,1,0,0
Governor of Poker 3,19/02/2016,Azerion;YoudaGames,Casual;Free to Play;Massively Multiplayer;Simulation,Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases,Free to play,Positive,42808,83%,1,1,0
Paladins�,08/05/2018,Evil Mojo Games,Action;Free to Play,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to play,Positive,16459,67%,1,1,0
Subnautica: Below Zero,30/01/2019,Unknown Worlds Entertainment,Adventure;Indie;Early Access,Single-player;Partial Controller Support,"1,499",Positive,1058,83%,1,1,0
Kenshi,06/12/2018,Lo-Fi Games,Action;Indie;RPG;Simulation;Strategy,Single-player;Steam Workshop;Includes level editor,699,Positive,40396,85%,1,0,0
rFactor 2,12/11/2015,Studio 397,Racing;Simulation;Sports,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats,729,Positive,23823,86%,1,0,0
Frostpunk,24/04/2018,11 bit studios,Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,950,Positive,8820,94%,1,1,0
ACE COMBAT� 7: SKIES UNKNOWN,31/01/2019,BANDAI NAMCO Studios,Action;Simulation,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"2,499",Positive,36443,90%,1,0,0
Borderlands 2,20/09/2012,Gearbox Software;Aspyr (Mac);Aspyr (Linux),Action;RPG,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,999,Positive,118279,80%,1,1,1
Call of Duty�: Black Ops II,12/11/2012,Treyarch,Action,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards,"3,999",Positive,15853,96%,1,0,0
Call of Duty�: Black Ops,08/11/2010,Treyarch,Action,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Valve Anti-Cheat enabled,"2,500",Positive,1906,60%,1,0,0
TEKKEN 7,01/06/2017,BANDAI NAMCO Studios Inc.,Action;Sports,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,989,Positive,12061,92%,1,0,0
DiRT Rally 2.0,25/02/2019,Codemasters,Racing;Simulation;Sports,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Cloud,569,Positive,34080,82%,1,0,0
Golf With Your Friends,29/01/2016,Blacklight Interactive,Casual;Indie;Sports;Early Access,Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Stats;Includes level editor,"1,129",Positive,70138,91%,1,1,1
PlanetSide 2,20/11/2012,Daybreak Game Company,Action;Free to Play;Massively Multiplayer,Multi-player;MMO;Steam Trading Cards,Free to play,Positive,37065,61%,1,0,0
Kerbal Space Program,27/04/2015,Squad,Indie;Simulation,Single-player;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud,849,Positive,53435,81%,1,1,1
Trove,09/07/2015,Trion Worlds,Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG,Online Multi-Player;MMO;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases,Free to play,Positive,9456,91%,1,0,0
Kingdom Come: Deliverance,13/02/2018,Warhorse Studios,Action;Adventure;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,699,Positive,5699,79%,1,0,0
